,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
3889,Eric Bailly,Centre-Back,22,Villarreal CF,LaLiga,Man Utd,Premier League,17,8.0,38.0,3
3890,André Gomes,Central Midfield,22,Valencia CF,LaLiga,FC Barcelona,LaLiga,17,30.0,37.0,2
3891,N'Golo Kanté,Defensive Midfield,25,Leicester,Premier League,Chelsea,Premier League,17,20.0,35.8,2
3892,Mats Hummels,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,17,32.0,35.0,3
3893,David Luiz,Centre-Back,29,Paris SG,Ligue 1,Chelsea,Premier League,17,28.0,35.0,3
3894,Moussa Sissoko,Central Midfield,27,Newcastle,Championship,Spurs,Premier League,17,13.0,35.0,2
3895,Renato Sanches,Central Midfield,18,Benfica,Liga NOS,Bayern Munich ,1.Bundesliga,17,10.0,35.0,2
3896,Miralem Pjanic,Central Midfield,26,AS Roma,Serie A,Juventus,Serie A,17,35.0,32.0,2
3897,Gabriel Jesus,Centre-Forward,19,Palmeiras,Serie A,Man City,Premier League,17,16.0,32.0,1
3898,Arkadiusz Milik,Centre-Forward,22,AFC Ajax,Eredivisie,SSC Napoli,Serie A,17,12.0,32.0,1
3899,Christian Benteke,Centre-Forward,25,Liverpool,Premier League,Crystal Palace,Premier League,17,27.0,31.2,1
3900,Islam Slimani,Centre-Forward,28,Sporting CP,Liga NOS,Leicester,Premier League,17,22.0,30.5,1
3901,Álvaro Morata,Centre-Forward,23,Juventus,Serie A,Real Madrid,LaLiga,17,30.0,30.0,1
3902,Paco Alcácer,Centre-Forward,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,17,25.0,30.0,1
3903,Kévin Gameiro,Centre-Forward,29,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,17,20.0,30.0,1
3904,André Schürrle,Left Winger,25,VfL Wolfsburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17,18.0,30.0,1
3905,Gonçalo Guedes,Left Winger,20,Benfica,Liga NOS,Paris SG,Ligue 1,17,9.0,30.0,1
3906,Gabriel Barbosa,Second Striker,20,Santos FC,Serie A,Inter,Serie A,17,20.0,29.5,1
3907,Dimitri Payet,Attacking Midfield,29,West Ham,Premier League,Marseille,Ligue 1,17,30.0,29.3,2
3908,Yannick Bolasie,Left Winger,27,Crystal Palace,Premier League,Everton,Premier League,17,14.0,28.9,1
3909,Grzegorz Krychowiak,Defensive Midfield,26,Sevilla FC,LaLiga,Paris SG,Ligue 1,17,30.0,27.5,2
3910,Georginio Wijnaldum,Central Midfield,25,Newcastle,Championship,Liverpool,Premier League,17,20.0,27.5,2
3911,Ilkay Gündogan,Central Midfield,25,Bor. Dortmund,1.Bundesliga,Man City,Premier League,17,30.0,27.0,2
3912,Nico Gaitán,Left Winger,28,Benfica,Liga NOS,Atlético Madrid,LaLiga,17,30.0,25.0,1
3913,Samuel Umtiti,Centre-Back,22,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,17,15.0,25.0,3
3914,Jesé,Left Winger,23,Real Madrid,LaLiga,Paris SG,Ligue 1,17,14.0,25.0,1
3915,André Ayew,Left Winger,26,Swansea,Premier League,West Ham,Premier League,17,18.0,24.1,1
3916,Ezequiel Garay,Centre-Back,29,Zenit S-Pb,Premier Liga,Valencia CF,LaLiga,17,20.0,24.0,3
3917,Naby Keïta,Central Midfield,21,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,17,11.0,24.0,2
3918,Odion Ighalo,Centre-Forward,27,Watford,Premier League,CC Yatai,Super League,17,12.0,23.3,1
3919,Marcos Alonso,Left-Back,25,Fiorentina,Serie A,Chelsea,Premier League,17,9.0,23.0,3
3920,Marko Pjaca,Left Winger,21,Dinamo Zagreb,1.HNL,Juventus,Serie A,17,8.0,23.0,1
3921,Morgan Schneiderlin,Defensive Midfield,27,Man Utd,Premier League,Everton,Premier League,17,28.0,22.9,2
3922,Breel Embolo,Centre-Forward,19,FC Basel,Super League,FC Schalke 04,1.Bundesliga,17,20.0,22.5,1
3923,Vincent Janssen,Centre-Forward,22,AZ Alkmaar,Eredivisie,Spurs,Premier League,17,6.0,22.1,1
3924,Mario Götze,Attacking Midfield,24,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17,35.0,22.0,2
3925,Antonio Candreva,Right Winger,29,Lazio,Serie A,Inter,Serie A,17,23.0,22.0,1
3926,Chengdong Zhang,Right Winger,27,BJ Sinobo Guoan,Super League,HB CFFC,Super League,17,0.475,20.44,1
3927,Axel Witsel,Central Midfield,27,Zenit S-Pb,Premier Liga,TJ Quanjian,Super League,17,20.0,20.0,2
3928,Kevin Volland,Centre-Forward,23,TSG Hoffenheim,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,17,17.0,20.0,1
3929,Didier Ndong,Central Midfield,22,FC Lorient,Rel. Ligue 1,Sunderland,Premier League,17,5.0,20.0,2
3930,Ahmed Musa,Centre-Forward,23,CSKA Moscow,Premier Liga,Leicester,Premier League,17,18.0,19.5,1
3931,Mattia Caldara,Centre-Back,22,Atalanta,Serie A,Juventus,Serie A,17,8.0,19.0,3
3932,Sofiane Boufal,Attacking Midfield,22,LOSC Lille,Ligue 1,Southampton,Premier League,17,13.0,18.7,2
3933,Joaquín Correa,Left Winger,21,Sampdoria,Serie A,Sevilla FC,LaLiga,17,6.5,18.2,1
3934,Claudio Bravo,Goalkeeper,33,FC Barcelona,LaLiga,Man City,Premier League,17,15.0,18.0,4
3935,Nolito,Left Winger,29,Celta de Vigo,LaLiga,Man City,Premier League,17,15.0,18.0,1
3936,Aleksandar Dragovic,Centre-Back,25,Dynamo Kyiv,Premier Liga,Bay. Leverkusen,1.Bundesliga,17,15.0,18.0,3
3937,Leonardo Pavoletti,Centre-Forward,28,Genoa,Serie A,SSC Napoli,Serie A,17,13.0,18.0,1
3938,Jordon Ibe,Right Winger,20,Liverpool,Premier League,Bournemouth,Premier League,17,7.0,18.0,1
3939,Alexandre Pato,Centre-Forward,27,Villarreal CF,LaLiga,TJ Quanjian,Super League,17,6.0,18.0,1
3940,Borja Bastón,Centre-Forward,23,Atlético Madrid,LaLiga,Swansea,Premier League,17,5.0,18.0,1
3941,Yuhao Zhao,Defensive Midfield,23,ZJ Greentown,League One,HB CFFC,Super League,17,0.1,17.8,2
3942,Wilfred Ndidi,Defensive Midfield,20,KRC Genk,Jupiler Pro League,Leicester,Premier League,17,8.0,17.6,2
3943,Manolo Gabbiadini,Centre-Forward,25,SSC Napoli,Serie A,Southampton,Premier League,17,15.0,17.0,1
3944,Franco Vázquez,Attacking Midfield,27,US Palermo,Serie A,Sevilla FC,LaLiga,17,15.0,16.8,2
3945,Gerson,Right Winger,19,Fluminense,Serie A,AS Roma,Serie A,17,6.0,16.6,1
3946,Lucas Digne,Left-Back,22,Paris SG,Ligue 1,FC Barcelona,LaLiga,17,12.0,16.5,3
3947,Memphis Depay,Left Winger,22,Man Utd,Premier League,Olympique Lyon,Ligue 1,17,25.0,16.0,1
3948,Rafa Silva,Right Winger,23,Braga,Liga NOS,Benfica,Liga NOS,17,15.0,16.0,1
3949,Sime Vrsaljko,Right-Back,24,Sassuolo,Serie A,Atlético Madrid,LaLiga,17,13.0,16.0,3
3950,Andros Townsend,Right Winger,24,Newcastle,Championship,Crystal Palace,Premier League,17,9.0,15.6,1
3951,Joe Allen,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,17,8.0,15.5,2
3952,Nampalys Mendy,Defensive Midfield,24,OGC Nice,Ligue 1,Leicester,Premier League,17,7.5,15.5,2
3953,Ryan Mason,Central Midfield,25,Spurs,Premier League,Hull City,Premier League,17,7.5,15.4,2
3954,Graziano Pellè,Centre-Forward,31,Southampton,Premier League,SD Luneng,Super League,17,11.0,15.25,1
3955,Nacer Chadli,Left Winger,27,Spurs,Premier League,West Brom,Premier League,17,13.0,15.2,1
3956,Oliver Burke,Right Winger,19,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,17,0.25,15.2,1
3957,Robbie Brady,Left Midfield,25,Norwich,Championship,Burnley,Premier League,17,8.0,15.1,2
3958,Luka Milivojevic,Defensive Midfield,25,Olympiacos,Super League,Crystal Palace,Premier League,17,8.0,15.1,2
3959,Mohamed Salah,Right Winger,24,Chelsea,Premier League,AS Roma,Serie A,17,20.0,15.0,1
3960,Christoph Kramer,Defensive Midfield,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,17,12.0,15.0,2
3961,Ousmane Dembélé,Right Winger,19,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,17,12.0,15.0,1
3962,Jonatan Soriano,Centre-Forward,31,RB Salzburg,Bundesliga,BJ Sinobo Guoan,Super League,17,6.0,15.0,1
3963,Pierre-Emile Höjbjerg,Central Midfield,20,Bayern Munich ,1.Bundesliga,Southampton,Premier League,17,6.0,15.0,2
3964,Djibril Sidibé,Right-Back,23,LOSC Lille,Ligue 1,Monaco,Ligue 1,17,4.0,15.0,3
3965,Isaac Success,Left Winger,20,Granada CF,LaLiga,Watford,Premier League,17,3.0,15.0,1
3966,Hélder Costa,Right Winger,23,Benfica,Liga NOS,Wolves,Championship,17,3.0,15.0,1
3967,Rodolfo Pizarro,Attacking Midfield,22,CF Pachuca,Liga MX Clausura,Chivas,Liga MX Clausura,17,5.0,14.75,2
3968,Amadou Diawara,Defensive Midfield,19,Bologna,Serie A,SSC Napoli,Serie A,17,11.0,14.5,2
3969,Victor Wanyama,Defensive Midfield,25,Southampton,Premier League,Spurs,Premier League,17,15.0,14.4,2
3970,Ross McCormack,Second Striker,29,Fulham,Championship,Aston Villa,Championship,17,8.0,14.3,1
3971,Lucas Pérez,Centre-Forward,27,Dep. La Coruña,LaLiga,Arsenal,Premier League,17,12.0,14.0,1
3972,Piotr Zielinski,Central Midfield,22,Udinese Calcio,Serie A,SSC Napoli,Serie A,17,12.0,14.0,2
3973,Filip Kostic,Left Winger,23,VfB Stuttgart,2.Bundesliga,Hamburger SV,1.Bundesliga,17,10.0,14.0,1
3974,Ashley Williams,Centre-Back,31,Swansea,Premier League,Everton,Premier League,17,8.0,14.0,3
3975,Timo Werner,Centre-Forward,20,VfB Stuttgart,2.Bundesliga,RB Leipzig,1.Bundesliga,17,8.0,14.0,1
3976,Saido Berahino,Centre-Forward,23,West Brom,Premier League,Stoke City,Premier League,17,15.0,13.9,1
3977,Jeffrey Schlupp,Left-Back,24,Leicester,Premier League,Crystal Palace,Premier League,17,8.0,13.8,3
3978,Roberto Soriano,Left Winger,25,Sampdoria,Serie A,Villarreal CF,LaLiga,17,14.0,13.75,1
3979,Leon Bailey,Left Winger,19,KRC Genk,Jupiler Pro League,Bay. Leverkusen,1.Bundesliga,17,12.5,13.5,1
3980,Stevan Jovetic,Centre-Forward,27,Man City,Premier League,Inter,Serie A,17,10.0,13.5,1
3981,Nathan Redmond,Left Winger,22,Norwich,Championship,Southampton,Premier League,17,7.5,13.5,1
3982,Stephan El Shaarawy,Left Winger,23,AC Milan,Serie A,AS Roma,Serie A,17,17.0,13.0,1
3983,Roberto Pereyra,Attacking Midfield,25,Juventus,Serie A,Watford,Premier League,17,16.0,13.0,2
3984,Nicola Sansone,Left Winger,24,Sassuolo,Serie A,Villarreal CF,LaLiga,17,12.0,13.0,1
3985,Jasper Cillessen,Goalkeeper,27,AFC Ajax,Eredivisie,FC Barcelona,LaLiga,17,12.0,13.0,4
3986,Benjamin Mendy,Left-Back,21,Marseille,Ligue 1,Monaco,Ligue 1,17,6.5,13.0,3
3987,Yannick Gerhardt,Left-Back,22,1. FC Köln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,17,4.5,13.0,3
3988,Jonathan Kodjia,Centre-Forward,26,Bristol City,Championship,Aston Villa,Championship,17,2.5,12.9,1
3989,Fernando,Defensive Midfield,24,Sampdoria,Serie A,Spartak Moscow,Premier Liga,17,11.0,12.5,2
3990,Yunus Malli,Attacking Midfield,24,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,17,10.0,12.5,2
3991,Jannik Vestergaard,Centre-Back,23,Werder Bremen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,17,7.0,12.5,3
3992,Yongpo Wang,Attacking Midfield,30,SD Luneng,Super League,TJ Quanjian,Super League,17,0.4,12.44,2
3993,Riechedly Bazoer,Defensive Midfield,20,AFC Ajax,Eredivisie,VfL Wolfsburg,1.Bundesliga,17,15.0,12.0,2
3994,Manuel Lanzini,Attacking Midfield,23,Al-Jazira,UAE Gulf League,West Ham,Premier League,17,9.0,12.0,2
3995,Raphaël Guerreiro,Left-Back,22,FC Lorient,Rel. Ligue 1,Bor. Dortmund,1.Bundesliga,17,9.0,12.0,3
3996,Sebastian Rode,Central Midfield,25,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17,8.0,12.0,2
3997,Maicon,Centre-Back,27,FC Porto,Liga NOS,São Paulo,Série A,17,8.0,12.0,3
3998,Brown Ideye,Centre-Forward,28,Olympiacos,Super League,TJ Teda,Super League,17,6.0,12.0,1
3999,Matt Ritchie,Right Midfield,26,Bournemouth,Premier League,Newcastle,Championship,17,6.0,12.0,2
4000,Robert Snodgrass,Right Winger,29,Hull City,Premier League,West Ham,Premier League,17,5.0,12.0,1
4001,Dwight Gayle,Centre-Forward,25,Crystal Palace,Premier League,Newcastle,Championship,17,3.0,12.0,1
4002,Bas Dost,Centre-Forward,27,VfL Wolfsburg,1.Bundesliga,Sporting CP,Liga NOS,17,5.925,11.85,1
4003,Jeff Hendrick,Central Midfield,24,Derby,Championship,Burnley,Premier League,17,1.5,11.8,2
4004,James Tomkins,Centre-Back,27,West Ham,Premier League,Crystal Palace,Premier League,17,6.0,11.7,3
4005,Jeffrey Bruma,Centre-Back,24,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,17,7.75,11.5,3
4006,Anthony Ujah,Centre-Forward,25,Werder Bremen,1.Bundesliga,Liaoning FC,Super League,17,5.5,11.5,1
4007,Jake Livermore,Defensive Midfield,27,Hull City,Premier League,West Brom,Premier League,17,4.5,11.5,2
4008,Min Cui,Centre-Back,27,YB Funde,Super League,SZ FC,League One,17,0.175,11.5,3
4009,Edin Dzeko,Centre-Forward,30,Man City,Premier League,AS Roma,Serie A,17,18.0,11.0,1
4010,Hakim Ziyech,Attacking Midfield,23,FC Twente,Eredivisie,AFC Ajax,Eredivisie,17,11.0,11.0,2
4011,Kamil Glik,Centre-Back,28,Torino,Serie A,Monaco,Ligue 1,17,10.0,11.0,3
4012,Georges-Kevin N'Koudou,Left Winger,21,Marseille,Ligue 1,Spurs,Premier League,17,7.0,11.0,1
4013,Andrej Kramaric,Centre-Forward,25,Leicester,Premier League,TSG Hoffenheim,1.Bundesliga,17,5.0,11.0,1
4014,Mingjian Zhao,Right-Back,29,SD Luneng,Super League,HB CFFC,Super League,17,0.45,10.95,3
4015,Hang Ren,Left-Back,27,JS Suning,Super League,HB CFFC,Super League,17,0.4,10.75,3
4016,Carlos Tévez,Second Striker,32,Boca Juniors,Primera División,SH Shenhua,Super League,17,8.5,10.5,1
4017,Cristian Ansaldi,Left-Back,29,Genoa,Serie A,Inter,Serie A,17,6.0,10.5,3
4018,Patrick van Aanholt,Left-Back,26,Sunderland,Premier League,Crystal Palace,Premier League,17,6.0,10.5,3
4019,Marten de Roon,Central Midfield,25,Atalanta,Serie A,Middlesbrough,Premier League,17,5.0,10.5,2
4020,Scott Hogan,Centre-Forward,24,Brentford,Championship,Aston Villa,Championship,17,0.5,10.5,1
4021,Kyung-won Kwon,Centre-Back,24,Al-Ahli (UAE),UAE Gulf League,TJ Quanjian,Super League,17,0.4,10.5,3
4022,Wenzhao Zhang,Right Midfield,29,SD Luneng,Super League,GZ Evergrande,Super League,17,0.25,10.4,2
4023,Dennis Praet,Central Midfield,22,RSC Anderlecht,Jupiler Pro League,Sampdoria,Serie A,17,9.0,10.0,2
4024,Maxime Lestienne,Left Winger,24,Al Arabi,Stars League,Rubin Kazan,Premier Liga,17,7.5,10.0,1
4025,Giovani Lo Celso,Central Midfield,20,CA Rosario,Primera División,Paris SG,Ligue 1,17,7.5,10.0,2
4026,Lorenzo Tonelli,Centre-Back,26,FC Empoli,Serie A,SSC Napoli,Serie A,17,5.5,10.0,3
4027,Dayot Upamecano,Centre-Back,18,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,17,5.0,10.0,3
4028,Rubén Rochina,Attacking Midfield,25,Granada CF,LaLiga,Rubin Kazan,Premier Liga,17,3.0,10.0,2
4029,Josip Brekalo,Left Winger,18,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,17,1.0,10.0,1
4030,Miguel Borja,Centre-Forward,24,Atl. Nacional,Liga Águila II,Palmeiras,Série A,17,1.75,9.85,1
4031,Éder,Second Striker,29,Sampdoria,Serie A,Inter,Serie A,17,12.0,9.8,1
4032,Mario Lemina,Defensive Midfield,22,Marseille,Ligue 1,Juventus,Serie A,17,4.0,9.8,2
4033,Emre Mor,Left Winger,18,Nordsjaelland,Superligaen,Bor. Dortmund,1.Bundesliga,17,1.0,9.75,1
4034,Chenglin Zhang,Left-Back,29,BJ Renhe,League One,GZ Evergrande,Super League,17,0.125,9.65,3
4035,Ganso,Attacking Midfield,26,São Paulo,Serie A,Sevilla FC,LaLiga,17,9.0,9.5,2
4036,Wissam Ben Yedder,Centre-Forward,25,Toulouse,Ligue 1,Sevilla FC,LaLiga,17,9.0,9.5,1
4037,Papy Djilobodji,Centre-Back,27,Chelsea,Premier League,Sunderland,Premier League,17,4.5,9.5,3
4038,Ciro Immobile,Centre-Forward,26,Sevilla FC,LaLiga,Lazio,Serie A,17,10.0,9.45,1
4039,Matej Vydra,Centre-Forward,24,Watford,Premier League,Derby,Championship,17,5.5,9.4,1
4040,Alex Pritchard,Attacking Midfield,23,Spurs,Premier League,Norwich,Championship,17,3.0,9.4,2
4041,James Chester,Centre-Back,27,West Brom,Premier League,Aston Villa,Championship,17,6.0,9.3,3
4042,Walace,Defensive Midfield,21,Grêmio,Serie A,Hamburger SV,1.Bundesliga,17,9.0,9.2,2
4043,José Fonte,Centre-Back,33,Southampton,Premier League,West Ham,Premier League,17,6.0,9.2,3
4044,Nicolás López,Centre-Forward,22,Udinese Calcio,Serie A,Internacional,Série A,17,3.0,9.09,1
4045,Hongbo Yin,Right Midfield,27,HN Jianye,Super League,HB CFFC,Super League,17,0.225,9.05,2
4046,Miranda,Centre-Back,31,Atlético Madrid,LaLiga,Inter,Serie A,17,16.0,9.0,3
4047,Adem Ljajic,Attacking Midfield,24,AS Roma,Serie A,Torino,Serie A,17,12.0,9.0,2
4048,Morgan Sanson,Central Midfield,22,Montpellier,Ligue 1,Marseille,Ligue 1,17,10.0,9.0,2
4049,Antonio Rüdiger,Centre-Back,23,VfB Stuttgart,2.Bundesliga,AS Roma,Serie A,17,10.0,9.0,3
4050,Diego Perotti,Left Winger,27,Genoa,Serie A,AS Roma,Serie A,17,9.5,9.0,1
4051,Sven Kums,Defensive Midfield,28,KAA Gent,Jupiler Pro League,Watford,Premier League,17,7.5,9.0,2
4052,Gianluca Lapadula,Centre-Forward,26,Pescara,Serie A,AC Milan,Serie A,17,6.5,9.0,1
4053,Kamil Grosicki,Right Winger,28,Stade Rennais,Ligue 1,Hull City,Premier League,17,6.0,9.0,1
4054,Daryl Janmaat,Right-Back,27,Newcastle,Championship,Watford,Premier League,17,7.5,8.9,3
4055,Roger Martínez,Centre-Forward,22,Racing Club,Primera División,JS Suning,Super League,17,1.2,8.9,1
4056,Ademola Lookman,Left Winger,19,Charlton,League One,Everton,Premier League,17,1.5,8.8,1
4057,Steven Defour,Central Midfield,28,RSC Anderlecht,Jupiler Pro League,Burnley,Premier League,17,6.0,8.6,2
4058,Alexander Isak,Centre-Forward,17,AIK Solna,Allsvenskan,Bor. Dortmund,1.Bundesliga,17,1.75,8.6,1
4059,Nani,Left Winger,29,Fenerbahce,Süper Lig,Valencia CF,LaLiga,17,14.5,8.5,1
4060,Idrissa Gueye,Central Midfield,26,Aston Villa,Championship,Everton,Premier League,17,9.0,8.5,2
4061,Emanuel Mammana,Centre-Back,20,River Plate,Primera División,Olympique Lyon,Ligue 1,17,7.0,8.5,3
4062,Borek Dockal,Attacking Midfield,28,Sparta Praha,HET Liga,HN Jianye,Super League,17,3.5,8.5,2
4063,Jorge,Left-Back,20,Flamengo,Serie A,Monaco,Ligue 1,17,2.5,8.5,3
